"YO TENGO MIS COMPROMISOS, TRABAJO TODO EL DIA, TODOS LOS DIAS, TENGO UN HOGAR. POR TAL MOTIVO ME INSCRIBI A UNA CARRERA UNIVERSITARIA NOCTURNA, PARA QUE MIS CLASES FUERAN EN LA NOCHE CALIFICO MAL ESTA CLASE POR QUE ES EN UN HORARIO TOTALMENTE FUERA DE LO ESTIMADO, SABADO A LA 2PM, CUANDO YO TRABAJO HASTA LAS 7PM Y ES UNA CLASE QUE DEBERIA SER 100% PRESENCIAL",-1
Xd,0
Very good,1
Veo necesaria más asignación de talleres para la casa que sean calificados para incentivar la apropiación de conocimiento.,-1
"Valoro mucho que a pesar de la situación coyuntural que vive el mundo, el profesor busco una metodologia muy dinamica y apropiada para el aprendizaje de una nueva lengua. Un trato basado en el respeto y la solidaridad con el estudiante por las dificultades de conexion presentadas.",2
"Utilizar más opciones técnologicas en las clases virtuales, los puntos de vista del profesor y su experiencia son valiosos, pero debe utilizar más herramientas que le permitan facilitar la comunicación asistida por tecnologia",-1
"Utiliza una muy buena metodologia, se presta para resolver cualquier duda que el alumno pueda tener y es muy colaborador no solo en su area sino en cualquiera de la que tenga conocimient",2
"Utiliza un tono de voz muy alto para referirse a los estudiantes. Cuando se le presenta una duda sobre parciales, su reacción es despota, no acepta reclamos. El método utilizado para dar la explicación de los temas, considero no es el apropiado.",-2
"Utiliza su blog para dejarnos material de estudio no solo de sus asignatura sino de otras No nos dio un cronograma detallado de clases, tan solo nos dio un objetivo al final del curso Algunos de los ejercicios evaluados en los examanes parciales no correspondian a los que deberian ser evaluados Se dedica mucho tiempo a ponernos ejercicios sin explicarlos Parece que no preparara con antelacion los temas que vamos a ver en cada clase",-1
"Utiliza de forma adecuada todos los recursos que ofrece en clase para el aprendizaje de todos, su metodología ha sido enriquecedora, se ha preocupada por el avance individual del grupo, hace didácticas las clases , son practicas y reflejadas en el medio exterior. Excelente profesor!",2
Utiliza aplicaciones o programas muy rudimentarios a la hora de dar las explicaciones o para la utilización de los trabajos finales,-1
"Usted es la mejor profe, sigue así",1
"Uno de los mejores profesores pa, le encanta enseñar y es muy bueno para eso",1
"Uno de los mejores profesores de la Universidad, ver su clase es agradable. explica muy bien",1
